Timestep,Particle_0_MSD,Particle_0_Noise_X,Particle_0_Noise_Y,Particle_1_MSD,Particle_1_Noise_X,Particle_1_Noise_Y,Particle_2_MSD,Particle_2_Noise_X,Particle_2_Noise_Y,Particle_3_MSD,Particle_3_Noise_X,Particle_3_Noise_Y,Particle_4_MSD,Particle_4_Noise_X,Particle_4_Noise_Y
27,0.3365014113847543,0.08811833430420067,-0.03802415559302033,0.2890607080078536,-0.19180996005037926,-0.015010422158550477,0.30512011501655345,0.1352028476180715,0.0282187407430427,0.31754290478043434,0.023641786235993268,-0.10630179915769966,0.34365203325736826,-0.11656715902886648,0.001804164863409918
28,0.3657098185472025,0.002128043710406337,0.08867323595545425,0.31126611110665126,-0.06508327256299633,0.00018459552310057438,0.32909338953884865,0.005633628681212093,-0.05121457323481332,0.3430591249876713,0.1199638079185914,-0.021865441149590416,0.3735278660133223,-0.15531320533688298,-0.030149736352087377
29,0.39655270437127327,0.014891007584637196,-0.0679440922931713,0.3343400499664824,0.042334194860857544,0.20807659040391893,0.3540610326358102,-0.17443307192782576,0.05822444775637608,0.3697234619984128,-0.0065974620890810205,0.04506555553346548,0.40516966174327057,-0.043071470046029126,-0.0146059885047167
30,0.42910096149156585,0.06729432044950394,-0.17645959092770472,0.3583795138436131,-0.022565670321806865,-0.008560808947124606,0.3801002191335271,0.1507633558913684,-0.06921522120768903,0.39756847636781284,0.1308011915661778,-0.11788166402247968,0.4386204760687151,0.1346669723754866,-0.04743454419034729
31,0.46340219513370323,0.060522370101825554,0.11154332973811346,0.3833517055756556,0.10527915569027135,0.022374831957430622,0.4071497080370662,-0.028026910446356676,-0.18259842416276303,0.42667839056808116,-0.13141458544552165,0.17666554892914357,0.4739298663592077,-0.18360719875025394,-0.07844906432421096
32,0.4994778912897837,-0.02828867205196255,-0.061907273651720864,0.40929022515276353,-0.003151232442302292,0.027474190274634505,0.43524225539715855,0.1068959535275138,0.00911882738437822,0.45711808405149973,-0.05619462476951015,0.10146453864394119,0.5113394740575239,-0.08177154757301308,-0.16326027456873232
33,0.5374436735055237,0.01848678838526347,0.13907324875915425,0.43618452930049934,0.012391742634264473,-0.0791709350567595,0.4644481045651207,-0.020429533330183696,0.08039193308807205,0.4889470243065746,-0.07707370597008625,-0.04402967871075586,0.5508661739956765,-0.02216885799990672,-0.1149371610215873
34,0.5772877652879412,0.011038963910769707,0.050742092783328877,0.4640055147672639,-0.09159247272624271,0.11342947938882125,0.49477683190024,-0.13938310438129228,-0.0566128588607568,0.5221871608941742,0.062074755527942393,0.10401885647927522,0.5925731917392344,-0.14040012963810977,0.26450367904151584
35,0.6191151265688234,-0.0719006667681404,-0.15630894981604143,0.49281772370509946,0.13369204375647134,0.11825657270608714,0.5262466631912298,-0.010735479071401644,0.09994190326779112,0.5569163103312117,0.19032926877271603,0.07540759331580894,0.636634206793584,0.04796797395099632,0.019894969648330953
36,0.6630100157809684,0.047305092823321286,0.09373272918208769,0.5226433287839133,-0.0978322207591943,0.14067808557880387,0.5589304864945535,0.036141552377197954,0.06082288953073121,0.5931549007822835,-0.022094226150476057,-0.09281426382790506,0.6831623784838848,0.00727246274032874,0.018729554982321834
37,0.7090506617670156,-0.08912169480418997,0.03196326759174765,0.553462724904516,0.048500129152322796,-0.046782218283226616,0.5927798560236103,-0.08047245724183812,0.008507903197998995,0.6309417063806657,-0.02029174630104449,0.022035182927354544,0.7323098783945474,0.1569866436259967,0.006863704842771542
38,0.7572693137525739,0.0297394853531108,-0.0101720025553045,0.5852832217712767,-0.0575881712458321,-0.2899893780274999,0.6278431436409333,0.06983208157562021,-0.025295169922576407,0.6703901885995031,0.15133362783557258,0.03980280299618697,0.7841784957855318,-0.054112537253484284,0.10668700883760403
39,0.8077277140719631,-0.14122943199298554,0.009018263749689953,0.6180269753640074,-0.052190675010502945,0.05068774563905613,0.6640683362101569,-0.012688071410219421,-0.08259841780265165,0.7115932809056326,-0.07602909475639799,0.1932459497449553,0.8389957733919832,0.0443523738462415,-0.17021287065383883
40,0.8606051278280685,-0.04073813673818111,0.14713935483488036,0.6517977424599359,-0.03637031161005154,0.004967105630026454,0.7014583930956282,-0.005876471227672918,-0.05050168503673361,0.7548029636528202,0.007950473236769779,0.006535059609776333,0.8968006127143376,0.007975652689921599,-0.08592331420964212
41,0.9158580592443277,-0.01599160228354403,0.09365041167304881,0.6866119217296047,-0.17081193946081297,0.2637694887963901,0.740143603258316,0.08932446283671285,-0.02554402141552091,0.7999476419670095,-0.030616585785550987,0.07345981283029958,0.9578330355576196,0.0677181686725047,0.018252928039743873
42,0.9735513294819856,0.01450806495092439,-0.06577873892955773,0.7224525735412011,-0.08242835576787516,0.06832603895033258,0.7800720685028296,-0.013905031978719874,0.1205095653450029,0.8472363200268249,-0.04424229892435701,-0.034117458067001095,1.0221791483459768,-0.05665109952314721,-0.11201834386872052
43,1.0339040978257992,-0.09026996642225334,0.09469284683570564,0.7594063184104749,-0.13971523065481517,0.12220652741961852,0.8213597500051231,0.03208765111845772,-0.016456096962267408,0.896737914673553,0.07633341509338765,0.0511326644162355,1.0900728184123374,0.13303816856580605,0.1321061738353467
44,1.0969433524255767,0.00038806166804070607,0.1622174918869854,0.7975245348573037,-0.1236520336346672,0.06755099976797856,0.8639506209013045,0.04718623380310079,-0.08829653984467759,0.948589121732109,0.14668732901546866,0.05392804508806764,1.1616068595279863,-0.050773330322975666,-0.185941332594626
45,1.1627506116658908,0.07255283730379855,0.013667187116288261,0.8366925267906864,0.12279373473853306,-0.001166035588881546,0.9078021309106442,0.17760872803800642,-0.04607750137316529,1.003007056671049,-0.07695623811651242,0.05473026747769738,1.236930821682196,0.13640819374650176,-0.13788033045852263
46,1.2314659895326159,0.08975435703037948,0.11302197718374812,0.8769932569176957,-0.06743429535719256,-0.07438860653255841,0.9528892839731424,-0.06522134899305057,-0.1605094964043946,1.0601244428254786,-0.12714111821740756,-0.12472926450301534,1.3159977404265286,-0.029409847380563337,0.027083651583395464
47,1.3032524078084236,-0.01013249162298958,-0.2092533205749156,0.9184291832572459,-0.15053020610083434,0.04186480208169058,0.9992737279511784,-0.00668909415947264,0.1454656478829222,1.1202161588966608,-0.07332686838041767,-0.030950076200379456,1.3988122807373948,-0.088450307306002,-0.052059417768045284
48,1.3784778445802635,0.044510425483270666,-0.07989206559187649,0.9609997121569578,0.12061184347742832,0.06091752334402411,1.0470376342270462,0.01715095481948434,0.03909405982809195,1.18336979801686,-0.046689061694079985,-0.06262914221876187,1.4851267774226997,-0.042472221613872096,0.049996669225984953
